star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
757 0.531 0.095 1.01e-01 0.166 8.339 0.244 4.88e-01 0.036 nan -inf nan nan 40.369 0.975 4.01e+01 0.009 40.430 0.679 4.13e+01 0.020 
758 3.495 0.255 9.96e-01 0.048 8.217 0.267 6.76e-01 0.038 18.355 0.655 1.00e+01 0.010 18.457 0.330 8.28e+00 0.017 17.803 0.262 3.75e+00 0.078 
759 0.531 0.117 1.02e-01 0.142 8.176 0.082 4.63e-01 0.065 24.283 1.219 3.71e+01 0.008 24.364 1.189 5.09e+01 0.005 24.364 1.113 6.17e+01 0.006 
760 2.453 0.182 9.96e-01 0.071 8.115 0.416 7.07e-01 0.038 24.466 0.128 1.43e+00 0.056 32.091 0.220 1.08e+01 0.055 24.160 0.030 3.70e+00 0.639 
761 0.531 0.122 9.98e-02 0.144 8.483 0.233 8.93e-01 0.048 nan -inf nan nan 28.943 0.697 2.21e+01 0.017 28.902 0.576 1.89e+01 0.018 
762 1.860 0.517 1.23e+00 0.017 1.799 0.397 4.79e-01 0.033 1.737 0.258 2.59e-01 0.082 1.737 0.240 2.53e-01 0.054 1.737 0.242 2.52e-01 0.028 
763 0.593 0.079 1.43e-01 0.114 8.135 0.264 6.79e-01 0.050 15.780 0.976 2.07e+01 0.008 15.780 0.952 2.51e+01 0.007 15.780 0.920 2.50e+01 0.005 
764 4.313 0.292 9.18e-01 0.038 nan -inf nan nan 10.649 0.843 1.63e+01 0.015 10.159 0.561 5.77e+00 0.074 10.322 0.373 1.76e+00 0.096 
765 3.577 0.131 2.25e-01 0.056 4.190 0.042 5.02e-01 0.151 nan -inf nan nan 37.323 0.721 2.34e+01 0.013 33.562 0.291 1.20e+01 0.056 
766 0.552 0.088 1.15e-01 0.145 0.531 0.193 5.31e-01 0.121 18.151 0.720 1.52e+01 0.015 18.171 0.632 1.55e+01 0.016 18.151 0.533 9.62e+00 0.043 
767 4.476 0.412 1.28e+00 0.032 nan -inf nan nan 20.542 0.643 1.16e+01 0.020 20.583 0.539 1.24e+01 0.022 20.522 0.525 1.05e+01 0.018 
768 0.593 0.088 1.29e-01 0.144 8.360 0.130 4.26e-01 0.058 22.136 0.640 1.29e+01 0.006 26.817 0.277 1.17e+01 0.007 22.157 0.128 5.74e+00 0.121 
769 4.047 0.367 1.33e+00 0.019 nan -inf nan nan 13.184 0.902 1.75e+01 0.005 12.836 0.726 1.48e+01 0.020 12.632 0.469 7.58e+00 0.065 
770 nan -inf nan nan nan -inf nan nan 11.753 0.854 1.49e+01 0.009 11.548 0.651 9.91e+00 0.023 10.997 0.392 1.99e+00 0.173 
771 nan -inf nan nan nan -inf nan nan 11.160 1.221 2.19e+01 0.002 11.119 1.092 1.91e+01 0.003 10.976 0.773 1.11e+01 0.037 
772 nan -inf nan nan nan -inf nan nan 23.199 1.115 2.88e+01 0.009 26.449 1.093 2.46e+01 0.025 26.715 0.838 1.84e+01 0.070 
773 nan -inf nan nan nan -inf nan nan 19.520 1.529 5.15e+01 0.000 19.581 1.158 3.65e+01 0.002 19.132 0.833 2.18e+01 0.026 
774 3.761 0.072 1.05e+00 0.547 9.157 1.536 2.54e+01 0.001 9.055 0.054 2.43e+00 2.507 18.580 0.903 1.97e+01 0.017 18.478 0.748 1.42e+01 0.021 
775 4.313 0.357 1.83e+00 0.070 nan -inf nan nan 11.365 1.830 1.49e+02 0.000 11.365 1.788 1.47e+02 0.000 11.344 1.701 1.39e+02 0.001 
776 nan -inf nan nan nan -inf nan nan 27.124 1.508 7.27e+01 0.007 27.267 1.479 8.37e+01 0.003 27.267 1.362 9.18e+01 0.004 
777 nan -inf nan nan nan -inf nan nan 14.614 0.805 1.45e+01 0.007 14.431 0.618 1.04e+01 0.017 14.001 0.465 5.30e+00 0.040 
778 4.211 0.406 1.52e+00 0.021 nan -inf nan nan 24.099 1.343 4.55e+01 0.002 24.548 1.131 4.03e+01 0.002 24.283 0.879 2.78e+01 0.016 
779 3.209 1.911 4.80e+01 0.000 3.189 1.718 2.81e+01 0.001 3.148 1.073 1.12e+01 0.046 3.127 0.643 5.63e-01 0.124 3.127 0.405 4.58e-01 0.128 
780 nan -inf nan nan 5.212 0.168 1.14e+00 0.786 16.434 1.850 1.74e+02 0.000 16.434 1.812 1.92e+02 0.000 16.413 1.736 1.79e+02 0.001 
781 4.149 0.413 1.47e+00 0.027 nan -inf nan nan nan -inf nan nan nan -inf nan nan 51.140 0.774 5.00e+01 0.007 
782 nan -inf nan nan 7.522 0.099 2.11e+00 0.263 21.911 1.800 1.60e+02 0.000 21.932 1.604 1.41e+02 0.002 21.707 1.275 8.82e+01 0.014 
783 nan -inf nan nan nan -inf nan nan nan -inf nan nan 46.276 1.804 3.33e+02 0.000 46.541 1.752 4.65e+02 0.000 
784 4.129 0.430 1.53e+00 0.024 nan -inf nan nan 17.599 0.852 1.96e+01 0.003 17.435 0.532 1.48e+01 0.034 16.352 0.343 3.51e+00 0.082 
785 3.924 1.545 1.22e+01 0.009 3.945 1.479 1.28e+01 0.005 3.924 1.391 1.00e+01 0.004 3.924 1.264 9.12e+00 0.005 3.924 1.047 7.38e+00 0.014 
786 nan -inf nan nan 7.726 0.632 4.71e+00 0.011 17.558 1.107 2.73e+01 0.008 17.619 0.998 2.02e+01 0.019 17.456 0.854 1.41e+01 0.034 
787 3.086 0.260 6.08e-01 0.067 1.553 0.129 4.73e-01 0.070 1.451 0.175 2.83e-01 0.049 1.451 0.169 2.65e-01 0.039 1.431 0.204 2.52e-01 0.019 
788 nan -inf nan nan nan -inf nan nan nan -inf nan nan 29.433 1.450 7.70e+01 0.011 29.433 1.377 1.07e+02 0.012 
789 nan -inf nan nan nan -inf nan nan nan -inf nan nan 36.403 1.350 6.73e+01 0.001 36.955 0.883 4.71e+01 0.005 
790 4.456 0.692 2.97e+00 0.013 nan -inf nan nan 12.059 1.238 2.26e+01 0.001 11.978 1.088 1.90e+01 0.004 11.876 0.873 1.45e+01 0.019 
791 nan -inf nan nan nan -inf nan nan 22.606 0.428 1.04e+01 0.061 45.090 1.443 1.07e+02 0.006 45.642 1.310 1.26e+02 0.004 
792 nan -inf nan nan 8.176 0.716 5.61e+00 0.015 26.326 1.027 2.71e+01 0.002 28.861 0.468 1.85e+01 0.031 29.188 0.259 1.31e+01 0.073 
793 nan -inf nan nan nan -inf nan nan 27.716 1.229 3.97e+01 0.001 29.495 1.292 4.46e+01 0.004 29.433 0.869 3.24e+01 0.032 
794 nan -inf nan nan nan -inf nan nan 17.926 1.132 2.85e+01 0.002 17.967 1.010 2.36e+01 0.002 17.824 0.823 1.74e+01 0.010 
795 nan -inf nan nan 7.317 0.213 2.28e+00 0.028 22.239 1.627 7.89e+01 0.000 22.382 1.337 6.50e+01 0.002 22.116 1.030 4.88e+01 0.014 
796 nan -inf nan nan 6.950 0.376 3.91e+00 0.085 13.327 0.956 1.66e+01 0.004 13.286 0.858 1.46e+01 0.006 13.184 0.707 1.05e+01 0.019 
797 3.761 0.624 2.28e+00 0.047 7.338 1.223 1.13e+01 0.002 7.522 0.858 7.94e+00 0.007 7.501 0.812 7.36e+00 0.006 7.481 0.717 6.26e+00 0.009 
798 nan -inf nan nan nan -inf nan nan 16.924 1.768 1.44e+02 0.000 16.924 1.635 1.35e+02 0.001 16.822 1.395 1.10e+02 0.009 
799 nan -inf nan nan 7.808 1.664 3.13e+01 0.000 7.828 0.912 1.22e+01 0.016 7.563 0.559 1.74e+00 0.102 7.093 0.599 9.92e-01 0.144 
800 nan -inf nan nan 7.358 0.846 6.06e+00 0.026 14.349 1.279 3.25e+01 0.007 14.349 1.229 3.13e+01 0.005 14.308 1.111 2.70e+01 0.005 
801 2.064 0.704 1.76e+00 0.010 2.024 0.523 1.19e+00 0.021 1.983 0.422 6.74e-01 0.020 1.983 0.400 5.72e-01 0.015 1.983 0.374 4.86e-01 0.011 
802 nan -inf nan nan nan -inf nan nan nan -inf nan nan 33.889 1.301 5.72e+01 0.001 33.828 0.774 3.77e+01 0.018 
803 nan -inf nan nan 8.380 0.477 4.20e+00 0.042 15.269 0.961 1.93e+01 0.003 15.187 0.761 1.48e+01 0.007 14.839 0.545 7.06e+00 0.044 
804 4.068 0.403 1.44e+00 0.025 7.747 0.380 2.81e+00 0.018 nan -inf nan nan 46.705 0.625 2.34e+01 0.021 49.853 0.160 1.88e+01 0.131 
805 nan -inf nan nan 7.461 0.422 3.58e+00 0.101 13.695 1.460 4.45e+01 0.003 13.674 1.391 4.34e+01 0.002 13.654 1.248 3.53e+01 0.004 
806 4.108 0.412 1.46e+00 0.025 nan -inf nan nan 18.375 1.196 3.61e+01 0.003 18.294 0.819 3.22e+01 0.029 17.435 0.502 4.69e+00 0.111 
807 4.190 0.407 1.46e+00 0.027 8.523 0.392 3.03e+00 0.021 23.649 0.645 1.38e+01 0.007 39.388 0.431 1.14e+01 0.031 91.407 0.409 3.03e+01 0.040 
808 4.354 0.616 2.61e+00 0.007 nan -inf nan nan 11.753 1.346 2.70e+01 0.001 11.712 1.214 2.41e+01 0.005 11.610 0.903 1.58e+01 0.029 
809 nan -inf nan nan 5.662 1.455 1.65e+01 0.003 5.662 1.333 1.19e+01 0.003 5.662 1.204 9.98e+00 0.006 5.641 1.026 8.35e+00 0.011 
810 4.149 0.414 1.47e+00 0.026 nan -inf nan nan nan -inf nan nan 30.251 0.880 3.42e+01 0.005 29.883 0.468 2.14e+01 0.052 
811 nan -inf nan nan 8.503 0.357 3.10e+00 0.009 25.570 1.473 6.27e+01 0.001 25.959 1.214 5.47e+01 0.001 25.570 0.829 4.60e+01 0.025 
812 nan -inf nan nan nan -inf nan nan 25.795 0.838 2.05e+01 0.005 30.169 0.505 2.04e+01 0.003 25.897 0.158 6.73e+00 0.235 
813 nan -inf nan nan nan -inf nan nan 15.861 0.088 5.30e+00 0.782 31.620 0.908 2.81e+01 0.012 31.600 0.367 1.57e+01 0.079 
814 nan -inf nan nan nan -inf nan nan 19.438 1.597 6.65e+01 0.002 19.479 1.311 6.37e+01 0.005 19.316 1.051 5.87e+01 0.016 
815 nan -inf nan nan nan -inf nan nan nan -inf nan nan nan -inf nan nan 55.085 0.661 4.72e+01 0.002 
816 nan -inf nan nan nan -inf nan nan 14.676 1.017 1.91e+01 0.004 14.614 0.877 1.58e+01 0.005 14.369 0.701 1.10e+01 0.023 
817 nan -inf nan nan nan -inf nan nan 13.061 0.590 1.08e+01 0.015 12.284 0.338 4.08e+00 0.097 11.038 0.272 1.81e+00 0.156 
818 4.211 0.407 1.49e+00 0.025 nan -inf nan nan 18.764 1.223 2.94e+01 0.001 18.784 0.810 2.50e+01 0.012 18.089 0.534 8.26e+00 0.060 
819 4.456 0.713 3.04e+00 0.016 nan -inf nan nan 13.020 1.236 2.45e+01 0.003 12.979 1.114 1.82e+01 0.006 12.857 0.916 1.39e+01 0.012 
820 nan -inf nan nan nan -inf nan nan 14.880 0.939 1.78e+01 0.004 14.819 0.788 1.43e+01 0.004 14.512 0.591 8.84e+00 0.026 
821 nan -inf nan nan 8.646 0.399 3.51e+00 0.009 24.630 1.119 3.15e+01 0.002 25.550 0.232 1.14e+01 0.444 49.934 1.019 6.66e+01 0.023 
822 nan -inf nan nan nan -inf nan nan 12.448 0.873 2.10e+01 0.025 11.896 0.519 9.17e+00 0.119 10.690 0.319 1.61e+00 0.210 
823 3.924 0.575 9.87e-01 0.046 1.574 0.084 5.64e-01 0.278 19.091 0.236 6.44e+00 0.047 19.193 0.165 5.77e+00 0.042 17.374 0.102 3.47e+00 0.060 
824 4.108 0.418 1.48e+00 0.025 8.380 0.360 2.77e+00 0.020 22.852 1.178 3.15e+01 0.002 23.077 0.650 2.39e+01 0.032 21.421 0.308 5.39e+00 0.137 
825 nan -inf nan nan 9.034 0.909 8.20e+00 0.007 17.946 1.004 2.38e+01 0.004 18.028 0.888 1.93e+01 0.004 17.926 0.789 1.62e+01 0.017 
826 nan -inf nan nan nan -inf nan nan 17.231 1.507 6.18e+01 0.000 17.210 1.286 5.20e+01 0.004 17.026 1.038 4.16e+01 0.018 
827 nan -inf nan nan nan -inf nan nan nan -inf nan nan 31.620 1.590 1.31e+02 0.001 31.600 1.444 1.32e+02 0.002 
828 4.190 0.382 1.87e+00 0.076 8.850 0.873 7.63e+00 0.013 19.561 0.415 1.25e+01 0.018 31.600 0.405 1.12e+01 0.043 31.866 0.263 9.54e+00 0.035 
829 nan -inf nan nan nan -inf nan nan 11.385 1.073 1.55e+01 0.006 11.344 0.967 1.26e+01 0.010 11.262 0.789 9.33e+00 0.020 
830 4.211 0.416 1.48e+00 0.027 nan -inf nan nan nan -inf nan nan nan -inf nan nan 57.886 0.205 1.99e+01 0.016 
831 nan -inf nan nan 6.439 0.522 4.15e+00 0.141 12.734 1.586 7.11e+01 0.009 12.734 1.574 7.61e+01 0.007 12.734 1.537 7.15e+01 0.007 
832 nan -inf nan nan 9.014 0.656 5.84e+00 0.018 nan -inf nan nan 32.172 1.564 9.34e+01 0.001 32.213 1.258 8.84e+01 0.005 
833 nan -inf nan nan nan -inf nan nan 25.734 1.755 1.49e+02 0.001 25.836 1.674 1.43e+02 0.000 25.795 1.542 1.27e+02 0.003 
834 1.186 1.444 2.87e+00 0.002 1.186 1.308 2.32e+00 0.003 1.186 0.916 1.57e+00 0.019 1.186 0.837 1.38e+00 0.018 1.186 0.776 1.21e+00 0.012 
835 nan -inf nan nan nan -inf nan nan 16.147 0.714 1.51e+01 0.009 15.861 0.423 9.77e+00 0.037 14.553 0.288 3.15e+00 0.116 
836 nan -inf nan nan nan -inf nan nan 16.863 0.949 2.05e+01 0.014 17.026 0.869 1.38e+01 0.034 16.924 0.788 1.24e+01 0.037 
837 4.129 0.410 1.46e+00 0.026 8.237 0.387 2.82e+00 0.024 24.937 0.437 9.62e+00 0.020 nan -inf nan nan nan -inf nan nan 
838 4.129 0.414 1.47e+00 0.026 8.544 0.402 2.92e+00 0.027 nan -inf nan nan 37.773 1.119 4.75e+01 0.003 38.468 0.663 3.78e+01 0.012 
839 nan -inf nan nan nan -inf nan nan 15.187 1.034 2.12e+01 0.003 15.125 0.869 1.68e+01 0.006 14.839 0.682 1.10e+01 0.020 
840 4.211 0.378 1.49e+00 0.020 nan -inf nan nan 27.839 1.593 8.91e+01 0.001 28.248 1.482 9.59e+01 0.000 28.084 1.186 7.08e+01 0.007 
841 4.108 1.414 8.52e+00 0.002 4.211 0.054 1.25e+00 4.199 8.176 1.282 3.23e+01 0.019 8.155 1.177 3.90e+01 0.023 8.155 0.982 4.04e+01 0.030 
842 nan -inf nan nan nan -inf nan nan nan -inf nan nan 42.801 1.499 1.08e+02 0.001 43.578 1.208 8.28e+01 0.001 
843 nan -inf nan nan nan -inf nan nan 17.047 0.101 5.52e+00 0.985 34.359 1.312 5.86e+01 0.007 34.870 1.022 4.18e+01 0.010 
844 4.170 0.402 1.49e+00 0.022 nan -inf nan nan 26.102 1.647 1.01e+02 0.002 26.204 1.563 1.12e+02 0.001 26.061 1.301 1.16e+02 0.008 
845 nan -inf nan nan 8.666 0.673 5.51e+00 0.004 27.083 0.617 1.41e+01 0.011 28.616 0.084 9.27e+00 0.394 68.412 0.631 5.17e+01 0.010 
846 nan -inf nan nan 8.462 0.451 3.96e+00 0.011 18.539 0.704 1.15e+01 0.012 18.314 0.130 6.50e+00 0.164 52.040 0.133 1.40e+01 0.108 
847 nan -inf nan nan nan -inf nan nan nan -inf nan nan 34.175 0.601 2.03e+01 0.028 93.103 0.935 7.36e+01 0.012 
848 nan -inf nan nan nan -inf nan nan 13.061 0.519 9.31e+00 0.017 12.836 0.370 6.56e+00 0.036 12.509 0.293 7.46e+00 0.063 
849 nan -inf nan nan nan -inf nan nan nan -inf nan nan 45.826 1.891 6.24e+02 0.000 45.928 1.851 7.49e+02 0.000 
850 4.190 0.409 1.62e+00 0.015 8.176 0.586 4.55e+00 0.007 16.393 1.075 2.48e+01 0.004 16.331 0.794 2.48e+01 0.024 16.045 0.546 6.75e+00 0.064 
851 nan -inf nan nan 8.544 0.599 4.71e+00 0.005 17.783 0.079 4.86e+00 0.651 47.339 1.307 7.77e+01 0.002 47.645 1.087 9.80e+01 0.007 
852 nan -inf nan nan 8.605 0.423 3.55e+00 0.010 nan -inf nan nan 38.018 1.503 9.97e+01 0.000 38.406 1.040 6.63e+01 0.005 
853 4.170 0.412 1.49e+00 0.025 8.830 0.427 3.31e+00 0.020 nan -inf nan nan 32.847 1.185 4.07e+01 0.003 33.092 0.712 3.17e+01 0.011 
854 1.247 1.765 8.69e+00 0.001 1.247 1.620 6.06e+00 0.002 1.247 0.988 3.21e+00 0.028 1.247 0.763 2.16e+00 0.042 1.247 0.594 2.11e-01 0.041 
855 nan -inf nan nan nan -inf nan nan nan -inf nan nan 30.006 1.487 1.00e+02 0.002 29.985 1.316 9.41e+01 0.016 
856 nan -inf nan nan nan -inf nan nan 11.896 1.623 6.08e+01 0.003 11.896 1.589 6.07e+01 0.003 11.876 1.523 4.92e+01 0.003 
857 nan -inf nan nan nan -inf nan nan 24.916 1.292 3.67e+01 0.016 25.018 1.159 3.99e+01 0.010 24.977 1.009 3.59e+01 0.017 
858 nan -inf nan nan nan -inf nan nan 20.072 1.045 2.80e+01 0.005 20.215 0.908 2.06e+01 0.006 20.092 0.764 1.53e+01 0.018 
859 nan -inf nan nan nan -inf nan nan 16.045 1.140 2.82e+01 0.001 15.984 0.889 2.54e+01 0.010 15.514 0.598 1.00e+01 0.053 
860 nan -inf nan nan nan -inf nan nan 10.343 1.254 1.86e+01 0.001 10.302 1.121 1.64e+01 0.003 10.220 0.882 1.17e+01 0.022 
861 3.945 0.151 1.20e+00 0.133 nan -inf nan nan 11.508 1.418 3.56e+01 0.001 11.446 1.243 2.90e+01 0.005 11.324 0.928 1.86e+01 0.025 
862 nan -inf nan nan 8.748 0.334 3.82e+00 0.105 18.151 0.154 6.97e+00 0.483 33.746 1.107 3.97e+01 0.008 34.237 0.763 2.99e+01 0.011 
863 nan -inf nan nan nan -inf nan nan 16.434 1.301 3.81e+01 0.002 16.413 1.006 3.68e+01 0.013 16.045 0.674 2.31e+01 0.060 
864 nan -inf nan nan 8.544 0.509 4.15e+00 0.009 27.676 0.648 1.26e+01 0.026 30.149 0.222 1.18e+01 0.074 29.249 0.036 7.11e+00 0.746 
865 nan -inf nan nan nan -inf nan nan 17.374 1.258 3.54e+01 0.001 17.333 1.052 2.49e+01 0.003 16.883 0.733 1.36e+01 0.033 
866 nan -inf nan nan nan -inf nan nan nan -inf nan nan 38.304 0.800 2.69e+01 0.012 38.120 0.335 1.78e+01 0.055 
867 nan -inf nan nan nan -inf nan nan 16.372 0.026 4.02e+00 3.914 44.354 1.539 1.22e+02 0.001 45.274 1.343 1.01e+02 0.001 
868 nan -inf nan nan nan -inf nan nan 18.559 1.486 6.24e+01 0.000 18.559 1.234 4.91e+01 0.005 18.355 0.984 3.80e+01 0.015 
869 nan -inf nan nan nan -inf nan nan 12.754 0.713 1.24e+01 0.012 11.978 0.402 3.73e+00 0.112 45.049 0.138 1.29e+01 0.189 
870 nan -inf nan nan nan -inf nan nan nan -inf nan nan 45.049 1.067 5.02e+01 0.003 49.035 0.727 4.98e+01 0.007 
871 4.211 0.406 1.47e+00 0.026 8.523 0.329 2.77e+00 0.017 20.706 1.240 3.31e+01 0.001 20.869 0.744 2.32e+01 0.017 19.561 0.417 5.07e+00 0.100 
872 nan -inf nan nan 6.827 1.819 4.98e+01 0.000 6.806 1.529 3.14e+01 0.003 6.786 1.325 2.45e+01 0.009 6.766 1.049 1.72e+01 0.018 
873 4.170 0.413 1.47e+00 0.027 8.523 0.379 2.77e+00 0.027 nan -inf nan nan 34.339 1.145 4.57e+01 0.003 34.421 0.616 3.28e+01 0.026 
874 nan -inf nan nan nan -inf nan nan 23.792 0.580 1.35e+01 0.057 42.883 1.281 7.02e+01 0.006 43.721 0.953 5.90e+01 0.003 
875 4.027 0.313 1.59e+00 0.026 nan -inf nan nan nan -inf nan nan 30.190 1.905 5.56e+02 0.000 30.190 1.884 5.75e+02 0.001 
876 4.149 0.376 1.47e+00 0.017 nan -inf nan nan 20.215 1.822 1.81e+02 0.000 20.235 1.681 1.69e+02 0.001 20.154 1.507 1.65e+02 0.004 
877 nan -inf nan nan 8.564 0.457 4.15e+00 0.041 25.100 1.706 1.23e+02 0.000 25.427 1.546 9.38e+01 0.001 25.345 1.373 8.27e+01 0.006 
878 nan -inf nan nan nan -inf nan nan 19.970 1.653 6.87e+01 0.001 20.051 1.404 5.40e+01 0.005 19.888 1.191 3.84e+01 0.029 
879 nan -inf nan nan nan -inf nan nan 12.080 1.020 1.53e+01 0.006 12.039 0.937 1.26e+01 0.009 11.957 0.789 9.90e+00 0.016 
880 4.211 0.398 1.45e+00 0.026 7.481 0.234 2.33e+00 0.016 21.114 1.552 6.33e+01 0.000 21.257 1.237 5.06e+01 0.003 20.971 0.944 4.17e+01 0.016 
881 nan -inf nan nan nan -inf nan nan 14.512 0.487 9.94e+00 0.022 13.756 0.238 4.67e+00 0.113 12.203 0.204 2.01e+00 0.174 
882 nan -inf nan nan 7.747 0.310 3.08e+00 0.096 nan -inf nan nan 35.095 1.071 4.31e+01 0.006 35.524 0.844 3.93e+01 0.007 
883 nan -inf nan nan nan -inf nan nan 11.692 0.772 1.08e+01 0.015 11.467 0.607 7.71e+00 0.022 11.181 0.477 3.93e+00 0.038 
884 nan -inf nan nan nan -inf nan nan 25.080 1.327 4.58e+01 0.001 25.734 1.024 3.89e+01 0.002 24.630 0.575 1.60e+01 0.070 
885 nan -inf nan nan nan -inf nan nan 18.396 1.692 1.08e+02 0.000 18.396 1.554 8.31e+01 0.001 18.294 1.348 6.66e+01 0.005 
886 nan -inf nan nan nan -inf nan nan 10.322 0.842 1.22e+01 0.011 10.036 0.615 8.01e+00 0.042 9.729 0.440 1.99e+00 0.072 
887 nan -inf nan nan nan -inf nan nan 18.457 1.397 4.76e+01 0.003 18.478 1.238 4.36e+01 0.006 18.314 0.999 3.18e+01 0.020 
888 nan -inf nan nan 8.339 0.463 3.73e+00 0.007 nan -inf nan nan 31.784 1.431 9.46e+01 0.000 31.743 1.107 7.54e+01 0.007 
889 3.536 0.502 1.87e+00 0.087 7.072 1.551 2.15e+01 0.002 7.113 1.367 1.69e+01 0.001 7.093 1.278 1.63e+01 0.003 7.093 1.036 1.27e+01 0.014 
890 nan -inf nan nan nan -inf nan nan 11.610 0.892 1.30e+01 0.008 11.528 0.783 1.11e+01 0.011 11.426 0.668 7.93e+00 0.021 
891 4.292 1.391 8.87e+00 0.000 8.585 1.412 1.94e+01 0.027 8.626 1.429 3.18e+01 0.013 8.605 1.400 3.12e+01 0.013 8.605 1.315 2.39e+01 0.014 
892 nan -inf nan nan 7.420 0.386 2.86e+00 0.012 nan -inf nan nan 37.241 0.983 3.74e+01 0.004 39.592 0.441 2.74e+01 0.021 
893 nan -inf nan nan nan -inf nan nan 10.077 0.216 3.56e+00 0.160 nan -inf nan nan 54.145 0.591 3.88e+01 0.014 
894 4.170 0.416 1.48e+00 0.027 nan -inf nan nan 26.654 0.439 9.37e+00 0.028 nan -inf nan nan 81.964 0.363 2.33e+01 0.028 
895 nan -inf nan nan nan -inf nan nan 13.306 1.192 2.33e+01 0.003 13.204 0.994 1.56e+01 0.011 13.000 0.757 1.05e+01 0.033 
896 nan -inf nan nan nan -inf nan nan 14.185 0.215 6.43e+00 0.079 34.829 0.318 1.49e+01 0.054 48.381 0.274 1.66e+01 0.016 
897 nan -inf nan nan nan -inf nan nan 11.344 1.498 4.98e+01 0.002 11.262 1.289 3.92e+01 0.006 11.140 0.961 2.65e+01 0.025 
898 nan -inf nan nan 8.360 0.622 5.15e+00 0.016 21.033 0.718 1.40e+01 0.008 nan -inf nan nan 64.917 0.469 4.54e+01 0.021 
899 nan -inf nan nan 7.297 0.364 3.13e+00 0.089 18.641 1.479 5.49e+01 0.002 18.723 1.416 3.93e+01 0.004 18.682 1.345 3.15e+01 0.004 
900 nan -inf nan nan nan -inf nan nan nan -inf nan nan 33.296 0.953 3.17e+01 0.002 32.765 0.323 1.52e+01 0.055 
901 nan -inf nan nan nan -inf nan nan 15.514 1.556 6.16e+01 0.001 15.493 1.448 6.02e+01 0.001 15.432 1.272 4.69e+01 0.005 
902 4.129 0.465 2.02e+00 0.086 7.972 1.807 6.02e+01 0.001 7.972 1.730 6.89e+01 0.001 7.972 1.691 6.80e+01 0.001 7.972 1.506 5.37e+01 0.005 
903 4.190 0.385 1.45e+00 0.022 nan -inf nan nan 13.776 0.993 2.19e+01 0.004 13.613 0.773 1.82e+01 0.015 13.102 0.510 3.27e+00 0.081 
904 nan -inf nan nan 8.585 0.474 3.85e+00 0.009 nan -inf nan nan 40.307 1.191 5.77e+01 0.002 41.248 0.716 4.00e+01 0.014 
905 nan -inf nan nan nan -inf nan nan 23.628 0.609 1.42e+01 0.012 nan -inf nan nan 59.173 0.605 4.47e+01 0.003 
906 4.231 0.319 1.74e+00 0.094 nan -inf nan nan 20.092 1.540 5.45e+01 0.001 20.215 1.300 4.53e+01 0.001 20.133 1.157 4.34e+01 0.005 
907 4.190 0.427 1.53e+00 0.026 nan -inf nan nan 20.706 0.580 1.13e+01 0.005 21.257 0.088 6.54e+00 0.278 54.533 0.261 1.79e+01 0.021 
908 nan -inf nan nan 6.357 1.800 3.71e+01 0.000 6.336 1.497 2.11e+01 0.002 6.316 1.374 1.64e+01 0.005 6.316 1.030 1.18e+01 0.025 
909 1.553 0.958 3.46e+00 0.032 1.451 0.482 2.53e-01 0.136 26.735 0.476 7.56e+00 0.037 39.183 0.436 1.23e+01 0.031 39.408 0.166 1.24e+01 0.041 
910 nan -inf nan nan nan -inf nan nan 25.448 0.793 1.97e+01 0.006 45.581 0.811 2.68e+01 0.029 48.115 0.633 3.14e+01 0.014 
911 nan -inf nan nan nan -inf nan nan nan -inf nan nan 47.236 1.459 1.04e+02 0.001 48.810 1.246 9.53e+01 0.001 
912 nan -inf nan nan nan -inf nan nan 11.078 0.712 1.09e+01 0.010 10.670 0.491 5.19e+00 0.060 10.240 0.378 2.02e+00 0.074 
913 nan -inf nan nan 8.707 0.528 4.19e+00 0.009 25.611 0.867 2.15e+01 0.003 28.922 0.360 1.62e+01 0.021 25.672 0.063 6.33e+00 0.515 
914 nan -inf nan nan nan -inf nan nan 27.083 1.249 4.38e+01 0.003 29.270 0.989 3.90e+01 0.004 29.433 0.829 2.67e+01 0.009 
915 4.190 0.420 1.53e+00 0.024 nan -inf nan nan 20.849 0.265 7.70e+00 0.075 nan -inf nan nan 53.246 1.218 9.93e+01 0.002 
916 nan -inf nan nan nan -inf nan nan nan -inf nan nan 34.891 1.154 4.05e+01 0.003 35.770 0.625 2.50e+01 0.020 
917 nan -inf nan nan nan -inf nan nan 16.352 0.938 2.06e+01 0.004 16.270 0.644 1.48e+01 0.016 15.698 0.454 5.98e+00 0.055 
918 4.149 0.422 1.57e+00 0.021 nan -inf nan nan 18.294 1.246 3.78e+01 0.002 18.273 0.924 3.25e+01 0.015 17.844 0.633 2.36e+01 0.052 
919 nan -inf nan nan nan -inf nan nan nan -inf nan nan 30.047 0.886 3.43e+01 0.001 29.822 0.507 2.04e+01 0.033 
920 nan -inf nan nan nan -inf nan nan 21.891 1.405 4.43e+01 0.001 22.300 0.981 2.99e+01 0.003 21.952 0.721 2.01e+01 0.015 
921 nan -inf nan nan nan -inf nan nan 13.041 0.051 3.84e+00 3.536 27.226 1.108 3.90e+01 0.013 27.205 0.972 3.21e+01 0.009 
